school name,location,state,rating,state test proficiency,population,graduation rate,standardized test performance,upperclassmen taking ACT or SAT,AP class enrollment rate,AP test pass rate,white student percentage,black student percentage,hispanic student percentage,asian pacific student percentage,native american indian student percentage,hawaiian pacific islander student percentage,two or more races student percentage
"
Spain Park High School
",Hoover,AL,#1,64%,"
1,645
",95%,64%,87%,29%,69%,64.7%,23.5%,4.2%,5.2%,0%,0.2%,2.1%
"
Hewitt-Trussville High School
",Trussville,AL,#2,62%,"
1,366
",97%,62%,113%,22%,55%,83.9%,11.6%,1.2%,2.2%,0.1%,0%,1%
"
Homewood High School
",Homewood,AL,#3,60%,"
1,105
",95%,60%,85%,26%,74%,58.8%,27.7%,8.6%,3.4%,0.1%,0.3%,1.1%
"
South Anchorage High School
",Anchorage,AK,#1,41%,"
1,444
",96%,41%,48%,23%,67%,65.8%,1.7%,8.6%,7.9%,6.2%,0.7%,9.1%
"
Eagle River High School
",Eagle River,AK,#2,42%,"
831
",95% or more*,42%,44%,24%,61%,68%,7.6%,10.2%,3.2%,1.9%,0.7%,8.3%
"
Homer High School
",Homer,AK,#3,42%,"
394
",90% to 94%*,42%,45%,23%,52%,80.2%,0.3%,5.8%,2%,5.3%,0.5%,5.8%
"
University High School
",Tucson,AZ,#1,96%,"
1,033
",99% or more*,96%,63%,68%,93%,50%,1.5%,32.8%,8.3%,0.5%,0.4%,6.5%
"
Hamilton High School
",Chandler,AZ,#2,57%,"
3,740
",95%,57%,62%,33%,76%,51.5%,8.7%,22%,13.6%,2.5%,0.2%,1.5%
"
Perry High School
",Gilbert,AZ,#3,69%,"
3,194
",95%,69%,59%,18%,73%,71.7%,4.5%,15.3%,6.2%,1%,0%,1.3%
"
Valley View High School
",JONESBORO,AR,#1,43%,"
585
",95% or more*,43%,21.2,31st,29%,90.1%,2.1%,3.8%,2.4%,0.3%,0%,1.4%
"
Prairie Grove High School
",PRAIRIE GROVE,AR,#2,36%,"
588
",90% to 94%*,36%,20.3,1st,102%,94.4%,0.5%,3.6%,0.9%,0.7%,0%,0%
"
Rogers High School
",ROGERS,AR,#3,44%,"
2,015
",93%,44%,19.4,62nd,52%,50.7%,1.4%,43.1%,2.4%,0.5%,0.9%,0.9%
"
Monta Vista High
",Cupertino,CA,#1,1411,"
2,357
",94%,1411,42nd,26th,14%,15.4%,0.1%,2.6%,78.2%,0%,0%,3.6%
"
Lynbrook High
",San Jose,CA,#2,1393,"
1,853
",93%,1393,32nd,23rd,14%,11.5%,0.4%,3.1%,80.9%,0.1%,0.1%,3.8%
"
Saratoga High
",Saratoga,CA,#3,1368,"
1,378
",93%,1368,38th,56th,14%,28%,0.1%,5%,58.6%,0%,0%,8.3%
"
Evergreen High School
",EVERGREEN,CO,#1,56%,"
1,013
",96%,56%,26,8th,74%,90.6%,0%,5.2%,1.2%,0.2%,0.1%,2.7%
"
Cheyenne Mountain High School
",COLORADO SPRINGS,CO,#2,57%,"
1,312
",95%,57%,24.2,10th,78%,77.7%,2.4%,12.8%,3.7%,0.3%,0.3%,2.7%
"
Cherry Creek High School
",GREENWOOD VILLAGE,CO,#3,60%,"
3,506
",92%,60%,25.5,16th,92%,70.1%,2.7%,11.4%,11.7%,0.3%,0.2%,3.5%
"
Ridgefield High School
",Ridgefield,CT,#1,78%,"
1,744
",98%,78%,1218,8th,95%,88.6%,0.7%,4.6%,5.1%,0%,0.1%,0.8%
"
Glastonbury High School
",Glastonbury,CT,#2,70%,"
2,038
",99% or more*,70%,1154,10th,90%,75.1%,4.3%,7.7%,10.4%,0.1%,0%,2.4%
"
Simsbury High School
",Simsbury,CT,#3,80%,"
1,450
",98%,80%,1178,24th,79%,85.7%,5%,3.8%,4.9%,0%,0%,0.7%
"
Stanton College Preparatory
",JACKSONVILLE,FL,#1,88%,"
1,557
",99% or more*,88%,1209,4th,48%,48%,17.7%,6.9%,23%,0.6%,0.1%,3.7%
"
Suncoast Community High School
",RIVIERA BEACH,FL,#2,87%,"
1,523
",99% or more*,87%,1173,27th,56%,41.8%,19.2%,20%,14.9%,0.5%,0%,3.5%
"
Alexander W Dreyfoos Junior School Of The Arts
",WEST PALM BEACH,FL,#3,89%,"
1,373
",99% or more*,89%,1116,7th,38%,57.5%,9.8%,22.2%,5.1%,0.2%,0.1%,5.1%
"
Gwinnett School of Mathematics- Science and Technology
",Lawrenceville,GA,#1,90%,"
976
",95% or more*,90%,1252,16th,82%,19.5%,26.1%,9.4%,41.3%,0.3%,0.2%,3.2%
"
Northview High School
",Duluth,GA,#2,76%,"
1,922
",98%,76%,1203,51st,86%,34.6%,10.6%,5%,46.6%,0.1%,0.1%,3%
"
Johns Creek High School
",Johns Creek,GA,#3,70%,"
2,011
",98%,70%,1127,35th,86%,59.7%,9.2%,5.6%,22.8%,0.1%,0%,2.6%
"
Mililani High School
",Mililani,HI,#1,60%,"
2,415
",92%,60%,176%,16%,55%,12.9%,2.9%,8.7%,43.4%,0.2%,18.8%,13%
"
Moanalua High School
",Honolulu,HI,#2,58%,"
1,998
",93%,58%,181%,10%,44%,12.1%,5.5%,7%,52.7%,0.3%,12.4%,10.2%
